,offensiveness_score,offensiveness_score_norm
187,3.0589508226895457,0.16099741172050241
2890,5.133647905394757,0.23334763206339806
2599,0.0,0.0
1786,5.329913698031352,0.29610631655729736
764,0.0,0.0
3047,5.0,0.23809523809523808
2864,0.0,0.0
1095,2.7355675656099403,0.3039519517344378
3032,0.0,0.0
869,0.0,0.0
1445,0.0,0.0
804,0.0,0.0
2441,0.0,0.0
819,0.0,0.0
929,2.3915821930384933,0.08857711826068494
2867,3.2930387904207827,0.193708164142399
2908,3.2930387904207827,0.25331067618621406
600,4.731971447288265,0.315464763152551
2942,0.0,0.0
618,3.1269737172134215,0.15634868586067108
115,0.0,0.0
2432,0.0,0.0
2641,4.230155466258036,0.21150777331290177
912,0.0,0.0
2517,0.0,0.0
494,0.0,0.0
66,3.265526741676701,0.13062106966706805
1289,0.0,0.0
2688,0.0,0.0
3035,0.0,0.0
1436,0.0,0.0
2555,5.0,0.3333333333333333
587,0.0,0.0
2006,0.0,0.0
230,0.0,0.0
2324,7.198564702281009,0.31298107401221775
2946,6.6351520126465084,0.4423434675097672
574,0.0,0.0
343,0.0,0.0
1851,5.0,0.29411764705882354
121,2.3915821930384933,0.11957910965192467
522,5.0,0.4166666666666667
1003,0.0,0.0
2134,0.0,0.0
2976,0.0,0.0
1276,0.0,0.0
4,0.0,0.0
1576,0.0,0.0
596,5.160993669369571,0.3225621043355982
2101,0.0,0.0
1553,0.0,0.0
2004,3.2930387904207827,0.4704341129172547
2410,0.0,0.0
195,4.697775678107754,0.3131850452071836
2412,5.0,1.25
1824,2.0282412495176363,0.14487437496554545
1974,3.2930387904207827,0.2993671627655257
1837,5.0,0.4166666666666667
2683,0.0,0.0
668,0.0,0.0
1397,2.563243689437794,0.09858629574760745
973,2.732024607119021,0.12418293668722823
1925,3.1269737172134215,0.20846491448089477
1142,0.0,0.0
27,0.0,0.0
2705,0.0,0.0
2941,3.2930387904207827,0.21953591936138553
1560,2.3061934850692607,0.3294562121527515
1437,0.0,0.0
1013,3.306201345971436,0.20663758412321476
2243,1.713756448342198,0.07451114992792165
1571,0.0,0.0
48,4.298230928704213,0.21491154643521065
113,3.4036491936226927,0.17018245968113463
1610,0.0,0.0
1379,0.0,0.0
355,3.1269737172134215,0.15634868586067108
2434,3.2930387904207827,0.23521705645862734
3002,0.0,0.0
1007,0.0,0.0
1005,6.000986932781474,0.400065795518765
2992,0.0,0.0
5,0.0,0.0
2277,8.025010237709047,0.3647731926231385
831,0.0,0.0
1063,0.0,0.0
1474,0.0,0.0
936,0.0,0.0
2550,3.2930387904207827,0.20581492440129892
528,0.0,0.0
1861,3.2930387904207827,0.25331067618621406
2226,0.0,0.0
636,3.240448015015605,0.2025280009384753
1216,0.0,0.0
432,0.0,0.0
1468,0.0,0.0
628,5.0,0.2777777777777778
1692,0.0,0.0
2692,0.0,0.0
60,0.0,0.0
1171,0.0,0.0
549,0.0,0.0
450,3.153321375197062,0.19708258594981637
1689,0.0,0.0
527,5.318510614727009,0.33240691342043804
970,0.0,0.0
2269,0.0,0.0
1234,0.0,0.0
2263,3.444827554035364,0.1722413777017682
1637,0.0,0.0
2189,0.0,0.0
2898,0.0,0.0
1218,0.0,0.0
3014,0.0,0.0
2265,0.0,0.0
18,3.076978247624997,0.13986264761931805
1207,0.0,0.0
988,0.0,0.0
2857,6.1521172233886166,0.34178429018825646
588,0.0,0.0
981,0.0,0.0
1153,0.0,0.0
240,0.0,0.0
1398,3.2930387904207827,0.21953591936138553
114,0.0,0.0
1150,0.0,0.0
1302,0.0,0.0
449,0.0,0.0
1748,3.2930387904207827,0.193708164142399
1197,0.0,0.0
458,2.8590784329678343,0.129958110589447
2844,4.926036771169625,0.2736687095094236
132,2.842482660227453,0.1579157033459696
2904,0.0,0.0
806,0.0,0.0
1980,0.0,0.0
2215,3.2930387904207827,0.2744198992017319
476,0.0,0.0
1242,1.6754883320567961,0.13962402767139967
1952,8.995596603220706,0.42836174301050983
1832,0.0,0.0
1262,0.0,0.0
2298,0.0,0.0
275,0.0,0.0
42,0.0,0.0
1638,0.0,0.0
105,0.0,0.0
1205,0.0,0.0
2459,0.0,0.0
955,0.0,0.0
2002,0.0,0.0
840,0.0,0.0
380,0.0,0.0
1282,0.0,0.0
1314,0.0,0.0
2883,0.0,0.0
3050,0.0,0.0
1681,2.171892193458026,0.10342343778371553
694,0.0,0.0
2305,0.0,0.0
961,0.0,0.0
2792,0.0,0.0
2791,6.572580562262239,0.28576437227227125
673,0.0,0.0
82,0.0,0.0
626,0.0,0.0
14,3.2104984338794225,0.1234807089953624
698,4.731971447288265,0.21508961124037568
686,0.0,0.0
1339,0.0,0.0
1221,0.0,0.0
1304,0.0,0.0
887,0.0,0.0
1981,0.0,0.0
2684,3.0589508226895457,0.25491256855746214
556,2.309077611780025,0.1924231343150021
2918,0.0,0.0
142,0.0,0.0
2337,2.3077484813517657,0.23077484813517657
2543,5.0,0.4166666666666667
2763,4.731971447288265,0.22533197368039357
1087,0.0,0.0
2764,0.0,0.0
2218,0.0,0.0
1855,5.448376102875464,0.3026875612708591
2950,0.0,0.0
2964,0.0,0.0
1623,3.2474037304569374,0.1298961492182775
1192,0.0,0.0
1378,3.2784456328411764,0.20490285205257353
1104,0.0,0.0
2135,3.3309185623460955,0.23792275445329253
98,2.2989540894431855,0.1209975836549045
1852,5.682848609293197,0.23678535872054987
1522,0.0,0.0
410,0.0,0.0
2854,2.0282412495176363,0.11268006941764647
951,11.042986574674293,0.6134992541485719
467,0.0,0.0
954,0.0,0.0
1987,0.0,0.0
947,0.0,0.0
962,0.0,0.0
1190,0.0,0.0
1395,4.747890343824428,0.2498889654644436
872,3.076978247624997,0.15384891238124984
2627,3.1163875440793407,0.1947742215049588
2772,0.0,0.0
1145,0.0,0.0
2321,1.608051509357992,0.0846342899662101
1946,3.2930387904207827,0.32930387904207825
332,0.0,0.0
23,2.4475629173057616,0.17482592266469726
292,0.0,0.0
875,0.0,0.0
309,0.0,0.0
1008,0.0,0.0
1662,0.0,0.0
2351,3.788895972594498,0.13531771330694636
1888,5.0,0.35714285714285715
1526,2.5890432732966953,0.1522966631350997
2140,0.0,0.0
2845,0.0,0.0
127,0.0,0.0
1026,6.1391861621230515,0.3836991351326907
1836,0.0,0.0
1549,0.0,0.0
2402,3.265526741676701,0.19208980833392358
1648,0.0,0.0
2334,0.0,0.0
1669,0.0,0.0
478,5.697783539009929,0.21914552073115112
2370,0.0,0.0
415,0.0,0.0
1665,0.0,0.0
2165,2.004138763183092,0.10548098753595221
3039,6.599240136392218,0.286923484190966
2183,0.0,0.0
1408,2.867239611827805,0.191149307455187
198,7.858945164501686,0.2709981091207478
2847,2.123642896065979,0.0923322998289556
796,0.0,0.0
1976,3.2930387904207827,1.0976795968069275
200,0.0,0.0
2749,0.0,0.0
1847,0.0,0.0
2237,2.4139189417052354,0.1005799559043848
2891,0.0,0.0
1931,2.3915821930384933,0.09964925804327056
610,0.0,0.0
2561,0.0,0.0
823,0.0,0.0
944,0.0,0.0
1568,0.0,0.0
1075,0.0,0.0
802,0.0,0.0
2935,0.0,0.0
437,2.2592192740194736,0.1412012046262171
2708,0.0,0.0
948,0.0,0.0
448,5.0,0.25
2578,2.4475629173057616,0.12881910091082957
2984,0.0,0.0
2094,0.0,0.0
566,2.3915821930384933,0.12587274700202597
524,4.578534688195548,0.1990667255737195
1393,0.0,0.0
96,0.0,0.0
1310,0.0,0.0
1294,0.0,0.0
147,2.2592192740194736,0.11296096370097368
393,0.0,0.0
2790,3.2930387904207827,0.14968358138276286
1478,0.0,0.0
1659,0.0,0.0
1857,5.0,0.25
1789,3.345930725940379,0.1394137802475158
986,4.980625466335189,0.21654893331892125
2711,0.0,0.0
2444,0.0,0.0
2087,2.4042247688553857,0.12653814572923083
1212,3.2784456328411764,0.10928152109470587
1165,0.0,0.0
624,0.0,0.0
2386,1.907499341776191,0.07947913924067462
1559,0.0,0.0
2169,5.890739838867354,0.24544749328613977
1503,0.0,0.0
1802,0.0,0.0
330,3.301672448513716,0.23583374632240828
1904,0.0,0.0
397,4.729307186845475,0.3378076562032482
1427,3.2930387904207827,0.13720994960086594
589,0.0,0.0
2860,5.288153285076487,0.3525435523384325
635,0.0,0.0
2323,0.0,0.0
2713,0.0,0.0
349,0.0,0.0
391,0.0,0.0
37,5.0,0.19230769230769232
1152,0.0,0.0
279,0.0,0.0
1895,3.1316642978253117,0.164824436727648
1732,0.0,0.0
551,2.042996416389025,0.10214982081945126
2109,3.2930387904207827,0.14968358138276286
1244,0.0,0.0
751,0.0,0.0
794,0.0,0.0
33,3.265526741676701,0.21770178277844673
2587,0.0,0.0
991,0.0,0.0
484,0.0,0.0
1022,0.0,0.0
2053,1.907499341776191,0.09537496708880955
2487,3.240448015015605,0.15430704833407644
2227,0.0,0.0
2644,2.2592192740194736,0.07530730913398245
201,0.0,0.0
1651,0.0,0.0
1645,0.0,0.0
689,0.0,0.0
2417,0.0,0.0
1106,0.0,0.0
1283,0.0,0.0
709,0.0,0.0
1162,2.9733861996363267,0.1982257466424218
1694,0.0,0.0
389,2.8785523006797216,0.1199396791949884
232,6.218971718107628,0.27039007470033166
360,0.0,0.0
384,2.3915821930384933,0.1328656773910274
1962,5.263974982659345,0.4049211525122573
2012,0.0,0.0
2944,0.0,0.0
2148,0.0,0.0
2081,5.0,0.22727272727272727
1899,5.599232275490044,0.37328215169933626
581,0.0,0.0
25,0.0,0.0
1391,1.7406879815236809,0.10879299884523005
701,2.3915821930384933,0.10398183447993449
2143,3.2930387904207827,0.12665533809310703
780,0.0,0.0
1135,0.0,0.0
2769,0.0,0.0
1528,0.0,0.0
3006,0.0,0.0
1940,3.2930387904207827,0.25331067618621406
2919,0.0,0.0
374,5.0,0.2631578947368421
1934,4.731971447288265,0.21508961124037568
94,0.0,0.0
2430,0.0,0.0
2471,3.4203056878458904,0.20119445222622884
942,0.0,0.0
168,0.0,0.0
514,0.0,0.0
2858,2.3061934850692607,0.1098187373842505
1893,3.2930387904207827,0.32930387904207825
52,4.177889004104012,0.21988889495284272
1697,0.0,0.0
2326,0.0,0.0
1504,0.0,0.0
2931,0.0,0.0
2260,0.0,0.0
102,2.3915821930384933,0.14947388706490583
1627,0.0,0.0
2815,0.0,0.0
643,3.0589508226895457,0.12745628427873107
6,0.0,0.0
2276,0.0,0.0
2057,6.036790371062119,0.3772993981913824
20,1.0502781557242067,0.04773991616928212
1625,0.0,0.0
2155,2.389809818872414,0.14936311367952587
2061,3.563026029483829,0.1875276857623068
2756,2.3915821930384933,0.11957910965192467
92,0.0,0.0
148,9.796573977714036,0.37679130683515527
123,0.0,0.0
2960,0.0,0.0
1818,5.0,0.3333333333333333
1143,3.3309185623460955,0.15140538919754978
2426,0.0,0.0
1363,0.0,0.0
2619,0.0,0.0
2313,0.0,0.0
2480,0.0,0.0
1343,0.0,0.0
229,0.0,0.0
2411,0.0,0.0
2079,0.0,0.0
442,5.0,0.4166666666666667
1215,0.0,0.0
1502,1.8506680113984517,0.16824254649076834
1507,0.0,0.0
1886,5.0,0.38461538461538464
2208,0.0,0.0
2586,2.3061934850692607,0.11530967425346303
1961,3.2930387904207827,0.193708164142399
426,0.0,0.0
1082,3.076978247624997,0.1923111404765623
2549,0.0,0.0
364,0.0,0.0
1757,0.0,0.0
1743,0.0,0.0
950,0.0,0.0
2256,0.0,0.0
2706,0.0,0.0
662,0.0,0.0
1058,0.0,0.0
1031,0.0,0.0
2369,0.0,0.0
307,2.3915821930384933,0.34165459900549905
2686,0.0,0.0
1797,5.0,0.22727272727272727
2655,0.0,0.0
1161,0.0,0.0
526,0.0,0.0
377,3.153321375197062,0.1261328550078825
1380,2.644489762590129,0.22037414688251075
1251,2.6436069901103774,0.12016395409592624
438,0.0,0.0
1810,2.7355675656099403,0.19539768325785287
550,0.0,0.0
271,0.0,0.0
2616,2.3061934850692607,0.1537462323379507
778,1.7407827217729406,0.07253261340720586
2333,0.0,0.0
860,0.0,0.0
1501,0.0,0.0
75,0.0,0.0
308,5.0,0.35714285714285715
1089,0.0,0.0
1044,0.0,0.0
2064,0.0,0.0
2301,5.651115355892287,0.28255576779461433
1840,5.0,0.25
2597,0.0,0.0
1334,0.0,0.0
842,0.0,0.0
238,4.071237665906661,0.2908026904219044
2610,0.0,0.0
2170,6.38540281784751,0.3756119304616182
807,0.0,0.0
157,2.3077484813517657,0.10989278482627456
781,0.0,0.0
1275,0.0,0.0
2415,0.0,0.0
2290,0.0,0.0
1679,0.0,0.0
1723,0.0,0.0
2458,2.4799837908690794,0.11272653594859451
2626,0.0,0.0
1417,0.0,0.0
1986,0.0,0.0
1327,0.0,0.0
145,0.0,0.0
2195,0.0,0.0
1210,0.0,0.0
2789,0.0,0.0
255,0.0,0.0
2693,0.0,0.0
2658,3.1316642978253117,0.3131664297825312
2856,0.0,0.0
1481,0.0,0.0
77,0.0,0.0
2895,0.0,0.0
118,2.0282412495176363,0.1690201041264697
2752,0.0,0.0
2579,0.0,0.0
1603,0.0,0.0
958,2.2592192740194736,0.1075818701914035
2083,3.2930387904207827,0.20581492440129892
205,0.0,0.0
428,0.0,0.0
1151,0.0,0.0
322,7.4797053321807105,0.4399826665988653
2502,0.0,0.0
1049,0.0,0.0
1030,8.96428824306812,0.37351201012783836
334,2.0282412495176363,0.10141206247588182
499,0.0,0.0
2175,0.0,0.0
974,0.0,0.0
51,0.0,0.0
2739,0.0,0.0
2566,0.0,0.0
652,0.0,0.0
534,0.0,0.0
595,0.0,0.0
2257,5.0,0.4166666666666667
357,0.0,0.0
496,0.0,0.0
2956,3.2930387904207827,0.16465193952103913
2866,0.0,0.0
263,0.0,0.0
2018,0.0,0.0
2212,0.0,0.0
2805,3.2930387904207827,0.16465193952103913
859,0.0,0.0
1617,0.0,0.0
1040,0.0,0.0
2019,0.0,0.0
2588,6.5860775808415655,0.32930387904207825
543,0.0,0.0
2759,0.0,0.0
693,0.0,0.0
2514,4.731971447288265,0.21508961124037568
1428,1.907499341776191,0.08670451553528141
